2026-03-30 04:59:01.036 | INFO     | pjrt_plugin_tt:setup_tt_pjrt_plugin_dir:42 - Using PJRT plugin directory: /home/tt-admin/pglusac/tt-xla/python_package/pjrt_plugin_tt
2026-03-30 04:59:01.036 | INFO     | pjrt_plugin_tt:setup_tt_metal_home:103 - Using TT-Metal from the source tree: /home/tt-admin/pglusac/tt-xla/third_party/tt-mlir/src/tt-mlir/third_party/tt-metal/src/tt-metal
2026-03-30 04:59:01.036 | WARNING  | torch_plugin_tt:__init__:38 - TT plugin is setting XLA_STABLEHLO_COMPILE to 1. This is required for TT PJRT plugin to work correctly.
2026-03-30 04:59:01.552 (   0.000s) [        ECE8A140]   plugin_attributes.cc:64       1| PluginAttributes::PJRT_Plugin_Initialize
2026-03-30 04:59:01.552 (   0.000s) [        ECE8A140]     client_instance.cc:647      1| ClientInstance::PJRT_Client_Create
2026-03-30 04:59:01.555 (   0.003s) [        ECE8A140]     client_instance.cc:257      1| ClientInstance::ClientInstance
2026-03-30 04:59:01.556 (   0.003s) [        ECE8A140]     client_instance.cc:279      1| ClientInstance::Initialize
2026-03-30 04:59:06.649 | critical |          Always | TT_THROW: Failed to open output file: /home/tt-admin/pglusac/tt-xla/third_party/tt-mlir/src/tt-mlir/third_party/tt-metal/src/tt-metal/generated/fabric/physical_chip_mesh_coordinate_mapping_1_of_1.yaml (assert.hpp:104)
2026-03-30 04:59:06.690 | critical |          Always | TT_THROW: Failed to open output file: /home/tt-admin/pglusac/tt-xla/third_party/tt-mlir/src/tt-mlir/third_party/tt-metal/src/tt-metal/generated/fabric/asic_to_fabric_node_mapping_rank_1_of_1.yaml (assert.hpp:104)
2026-03-30 04:59:07.622 (   6.070s) [        ECE8A140]     client_instance.cc:564      1| ClientInstance::openMeshDevice - setting fabric config: FABRIC_1D_RING
2026-03-30 04:59:07.709 | critical |          Always | TT_THROW: Failed to open output file: /home/tt-admin/pglusac/tt-xla/third_party/tt-mlir/src/tt-mlir/third_party/tt-metal/src/tt-metal/generated/fabric/physical_chip_mesh_coordinate_mapping_1_of_1.yaml (assert.hpp:104)
2026-03-30 04:59:07.748 | critical |          Always | TT_THROW: Failed to open output file: /home/tt-admin/pglusac/tt-xla/third_party/tt-mlir/src/tt-mlir/third_party/tt-metal/src/tt-metal/generated/fabric/asic_to_fabric_node_mapping_rank_1_of_1.yaml (assert.hpp:104)
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]              stubs.inc:122   WARN| STUB: PJRT_Client_TopologyDescription
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]      error_instance.cc:52       1| ErrorInstance::PJRT_Error_Message
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]      error_instance.cc:61       1| ErrorInstance::PJRT_Error_GetCode
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]      error_instance.cc:46       1| ErrorInstance::PJRT_Error_Destroy
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]     client_instance.cc:706      1| ClientInstance::PJRT_Client_PlatformVersion
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]     client_instance.cc:685      1| ClientInstance::PJRT_Client_PlatformName
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]     client_instance.cc:718      1| ClientInstance::PJRT_Client_Devices
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]     device_instance.cc:48       1| DeviceInstance::PJRT_Device_GetDescription
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]  device_description.cc:88       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]     device_instance.cc:48       1| DeviceInstance::PJRT_Device_GetDescription
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]  device_description.cc:88       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]     device_instance.cc:48       1| DeviceInstance::PJRT_Device_GetDescription
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]  device_description.cc:88       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]     device_instance.cc:48       1| DeviceInstance::PJRT_Device_GetDescription
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]  device_description.cc:88       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]     device_instance.cc:48       1| DeviceInstance::PJRT_Device_GetDescription
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]  device_description.cc:88       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]     device_instance.cc:48       1| DeviceInstance::PJRT_Device_GetDescription
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]  device_description.cc:88       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]     device_instance.cc:48       1| DeviceInstance::PJRT_Device_GetDescription
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]  device_description.cc:88       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]     device_instance.cc:48       1| DeviceInstance::PJRT_Device_GetDescription
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]  device_description.cc:88       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2026-03-30 04:59:09.096 (   7.544s) [        ECE8A140]     client_instance.cc:732      1| ClientInstance::PJRT_Client_AddressableDevices
