step,train_loss,val_loss,time_sec
0,4.2305908203125,3.6551025390625,17.665738105773926
20,2.88104248046875,2.89859619140625,60.80545783042908
40,2.6474609375,2.643359375,103.13116955757141
60,2.58038330078125,2.58695068359375,145.88863825798035
80,2.54803466796875,2.5592529296875,188.2746925354004
100,2.53594970703125,2.54505615234375,230.69373083114624
120,2.493408203125,2.5373291015625,273.18576860427856
140,2.47491455078125,2.5123291015625,315.5116443634033
160,2.43896484375,2.50394287109375,357.9289665222168
180,2.40802001953125,2.464404296875,400.4775812625885
199,2.38458251953125,2.419873046875,440.72649669647217
