step,train_loss,val_loss,time_sec
0,4.2481689453125,4.179843425750732,251.35576605796814
250,4.185546875,4.177343845367432,1294.946096420288
500,4.1859130859375,4.17578125,2338.2332220077515
750,4.1943359375,4.175468444824219,3381.6878950595856
1000,4.1661376953125,4.175468444824219,4425.328825235367
1250,4.2176513671875,4.175156116485596,5468.972098350525
1500,4.167236328125,4.174687385559082,6513.185527086258
1750,4.1715087890625,4.174218654632568,7557.2896065711975
2000,4.1744384765625,4.174999713897705,8601.303429603577
2250,4.175048828125,4.172500133514404,9645.488907814026
2500,4.1868896484375,4.174218654632568,10689.253561019897
2750,4.1776123046875,4.170156002044678,11732.836454629898
3000,4.192626953125,4.166718482971191,12775.470258951187
3250,4.1756591796875,4.161562442779541,13817.836656332016
